Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time,Cumulative Capital
"21700PE, 21750CE",2024-01-01 09:42:00,214.1705,2024-01-01 11:13:00,204.727,2,75,-708.2624999999989,32.125575,-740.3880749999989,Hold Time Exceeded,04JAN24,3,False,2024-01,91.0,199259.611925
"21750CE, 21700PE",2024-01-01 09:47:00,213.1605,2024-01-01 11:18:00,203.7675,2,75,-704.474999999999,31.974075,-736.4490749999991,Hold Time Exceeded,04JAN24,3,False,2024-01,91.0,199263.550925
"21800CE, 21750PE",2024-01-01 11:19:00,200.13150000000002,2024-01-01 12:50:00,190.1325,2,75,-749.9250000000006,30.019725,-779.9447250000006,Hold Time Exceeded,04JAN24,3,False,2024-01,91.0,198483.6062
"21750CE, 21800PE",2024-01-01 11:30:00,251.692,2024-01-01 13:01:00,240.279,2,75,-855.9750000000008,37.7538,-893.7288000000008,Hold Time Exceeded,04JAN24,3,False,2024-01,91.0,198365.883125
"21800CE, 21750PE",2024-01-01 12:51:00,190.183,2024-01-01 14:22:00,204.828,2,75,1098.3749999999995,28.52745,1069.8475499999995,Hold Time Exceeded,04JAN24,3,False,2024-01,91.0,199553.45375
"21750CE, 21800PE",2024-01-01 13:02:00,240.784,2024-01-01 13:24:00,239.7235,2,75,-79.53750000000139,36.117599999999996,-115.65510000000137,Trend Reversal,04JAN24,3,False,2024-01,22.0,198250.228025
"21750CE, 21800PE",2024-01-01 13:51:00,236.542,2024-01-01 14:50:00,286.28450000000004,2,75,3730.6875000000005,35.481300000000005,3695.2062000000005,Profit Target Hit,04JAN24,3,False,2024-01,59.0,201945.434225
"21750CE, 21750PE",2024-01-01 13:58:00,215.8875,2024-01-01 14:12:00,241.4405,2,75,-1916.475,32.383125,-1948.8581249999993,Stop Loss Hit,04JAN24,3,False,2024-01,14.0,198051.141875
"21850CE, 21800PE",2024-01-01 14:23:00,192.405,2024-01-01 15:21:00,182.81,2,75,-719.6250000000009,28.860750000000003,-748.4857500000007,EOD,04JAN24,3,False,2024-01,58.0,198804.968
"21800CE, 21800PE",2024-01-01 14:43:00,227.0985,2024-01-01 15:03:00,231.694,2,75,-344.66249999999906,34.064775,-378.72727499999905,RSI Oversold,04JAN24,3,False,2024-01,20.0,197672.4146
"21850CE, 21900PE",2024-01-01 14:51:00,252.19699999999997,2024-01-01 15:21:00,244.77349999999998,2,75,-556.7624999999998,37.82955,-594.5920499999993,EOD,04JAN24,3,False,2024-01,30.0,201350.842175
"21800CE, 21750PE",2024-01-02 09:41:00,169.32649999999998,2024-01-02 10:25:00,200.586,2,75,2344.462500000002,25.398974999999993,2319.063525000002,Profit Target Hit,04JAN24,2,False,2024-01,44.0,201124.031525
"21750CE, 21800PE",2024-01-02 09:41:00,219.7255,2024-01-02 10:29:00,255.429,2,75,2677.7625000000003,32.958825,2644.8036750000006,Profit Target Hit,04JAN24,2,False,2024-01,48.0,203995.64585
"21600PE, 21650CE",2024-01-02 10:51:00,182.9615,2024-01-02 11:08:00,178.1135,2,75,-363.600000000001,27.444225000000003,-391.04422500000095,Trend Reversal,04JAN24,2,False,2024-01,17.0,203604.601625
"21600PE, 21650CE",2024-01-02 12:05:00,173.3665,2024-01-02 13:36:00,163.822,2,75,-715.8375000000009,26.004975,-741.8424750000008,Hold Time Exceeded,04JAN24,2,False,2024-01,91.0,202862.75915
"21650CE, 21650PE",2024-01-02 13:37:00,184.88049999999998,2024-01-02 14:27:00,182.911,2,75,147.71249999999873,27.732074999999995,119.98042499999872,RSI Oversold,04JAN24,2,False,2024-01,50.0,197792.395025
"21700CE, 21650PE",2024-01-02 14:12:00,158.368,2024-01-02 15:15:00,145.339,2,75,-977.1750000000002,23.755200000000002,-1000.9302000000002,Stop Loss Hit,04JAN24,2,False,2024-01,63.0,200123.101325
"21650CE, 21700PE",2024-01-02 14:12:00,208.8175,2024-01-02 15:21:00,199.677,2,75,-685.5375000000001,31.322625000000002,-716.8601250000002,EOD,04JAN24,2,False,2024-01,69.0,202145.899025
"21700CE, 21700PE",2024-01-02 14:39:00,177.558,2024-01-02 14:54:00,175.8915,2,75,124.98750000000018,26.6337,98.35379999999986,RSI Oversold,04JAN24,2,False,2024-01,15.0,197890.748825
"21650CE, 21600PE",2024-01-03 09:33:00,136.75400000000002,2024-01-03 10:29:00,126.755,2,75,-749.9250000000008,20.5131,-770.4381000000009,Stop Loss Hit,04JAN24,1,False,2024-01,56.0,199352.663225
"21600PE, 21650CE",2024-01-03 09:51:00,137.6125,2024-01-03 10:13:00,131.401,2,75,-465.8625000000005,20.641875,-486.50437500000055,Trend Reversal,04JAN24,1,False,2024-01,22.0,201659.39465
"21550CE, 21600PE",2024-01-03 10:35:00,177.255,2024-01-03 11:22:00,168.82150000000001,2,75,-632.5124999999996,26.58825,-659.1007499999996,Trend Reversal,04JAN24,1,False,2024-01,47.0,201000.2939
"21600CE, 21650PE",2024-01-03 11:48:00,164.1755,2024-01-03 12:27:00,191.79899999999998,2,75,2071.762499999999,24.626325,2047.1361749999987,Profit Target Hit,04JAN24,1,False,2024-01,39.0,203047.430075
"21600CE, 21600PE",2024-01-03 11:48:00,138.2185,2024-01-03 12:05:00,134.93599999999998,2,75,246.1874999999999,20.732775,225.45472499999988,RSI Oversold,04JAN24,1,False,2024-01,17.0,198116.20355
"21650CE, 21600PE",2024-01-03 11:52:00,111.65550000000002,2024-01-03 12:25:00,132.7645,2,75,1583.1749999999993,16.748325,1566.4266749999995,Profit Target Hit,04JAN24,1,False,2024-01,33.0,200919.0899
"21550PE, 21600CE",2024-01-03 12:41:00,114.8875,2024-01-03 13:37:00,106.656,2,75,-617.3624999999996,17.233125,-634.5956249999999,Stop Loss Hit,04JAN24,1,False,2024-01,56.0,202412.83445
"21550CE, 21550PE",2024-01-03 12:52:00,137.663,2024-01-03 13:57:00,131.5525,2,75,458.28750000000014,20.64945,437.63805000000013,RSI Oversold,04JAN24,1,False,2024-01,65.0,198553.8416
"21550PE, 21600CE",2024-01-03 14:34:00,99.88900000000001,2024-01-03 15:21:00,108.27199999999999,2,75,628.7250000000004,14.983349999999998,613.7416499999999,EOD,04JAN24,1,False,2024-01,47.0,203026.5761
"21650CE, 21600PE",2024-01-04 09:28:00,55.651,2024-01-04 09:34:00,51.50999999999999,2,75,-310.57500000000033,8.34765,-318.9226500000004,Stop Loss Hit,04JAN24,0,True,2024-01,6.0,200600.16725
"21600CE, 21650PE",2024-01-04 10:05:00,85.3955,2024-01-04 11:10:00,79.3355,2,75,-454.5000000000002,12.809325000000001,-467.3093250000002,Stop Loss Hit,04JAN24,0,True,2024-01,65.0,202559.266775
"21650CE, 21650PE",2024-01-04 10:15:00,60.1455,2024-01-04 10:51:00,48.581,2,75,867.3374999999996,9.021825,858.3156749999996,Profit Target Hit,04JAN24,0,True,2024-01,36.0,199412.157275
"21650CE, 21700PE",2024-01-04 11:11:00,83.9815,2024-01-04 11:48:00,77.77,2,75,-465.86250000000007,12.597225000000002,-478.4597250000001,Stop Loss Hit,04JAN24,0,True,2024-01,37.0,202080.80705
"21650CE, 21700PE",2024-01-04 12:24:00,73.427,2024-01-04 12:58:00,70.296,2,75,-234.82500000000002,11.014050000000001,-245.83905,Trend Reversal,04JAN24,0,True,2024-01,34.0,201834.968
"21800CE, 21750PE",2024-01-05 09:53:00,209.4235,2024-01-05 11:24:00,221.19,2,75,882.4875000000009,31.413525,851.0739750000012,Hold Time Exceeded,11JAN24,6,False,2024-01,91.0,201451.241225
"21750CE, 21800PE",2024-01-05 09:54:00,260.4285,2024-01-05 11:25:00,271.7405,2,75,848.400000000001,39.064275,809.3357250000013,Hold Time Exceeded,11JAN24,6,False,2024-01,91.0,202644.303725
"21700PE, 21750CE",2024-01-05 11:35:00,215.7865,2024-01-05 13:06:00,207.2015,2,75,-643.8750000000007,32.367975,-676.2429750000007,Hold Time Exceeded,11JAN24,6,False,2024-01,91.0,201968.06075
"21700CE, 21700PE",2024-01-05 12:10:00,236.39050000000003,2024-01-05 12:36:00,233.815,2,75,193.16250000000036,35.458575,157.70392500000037,RSI Oversold,11JAN24,6,False,2024-01,26.0,199569.8612
"21650PE, 21700CE",2024-01-05 13:54:00,211.09,2024-01-05 14:00:00,211.4435,2,75,26.51249999999976,31.6635,-5.151000000000238,Trend Reversal,11JAN24,6,False,2024-01,6.0,201962.90975
"21650PE, 21700CE",2024-01-05 14:31:00,211.8475,2024-01-05 15:19:00,196.546,2,75,-1147.6125000000004,31.777125,-1179.3896250000005,Stop Loss Hit,11JAN24,6,False,2024-01,48.0,200783.520125
"21700CE, 21700PE",2024-01-05 14:46:00,230.9365,2024-01-05 15:18:00,219.473,2,75,859.7624999999999,34.640475,825.1220249999998,RSI Oversold,11JAN24,6,False,2024-01,32.0,200394.983225
"21750CE, 21700PE",2024-01-05 14:51:00,201.798,2024-01-05 15:21:00,191.24349999999998,2,75,-791.5875000000003,30.2697,-821.8572000000004,EOD,11JAN24,6,False,2024-01,30.0,200629.384025
"21800CE, 21750PE",2024-01-08 09:28:00,181.24450000000002,2024-01-08 10:59:00,205.535,2,75,1821.7875,27.186675,1794.6008249999995,Hold Time Exceeded,11JAN24,3,False,2024-01,91.0,202423.98485
"21700PE, 21750CE",2024-01-08 09:54:00,186.34500000000003,2024-01-08 10:30:00,178.1135,2,75,-617.3625000000005,27.951750000000004,-645.3142500000007,Trend Reversal,11JAN24,3,False,2024-01,36.0,200138.20587499999
"21700CE, 21700PE",2024-01-08 10:34:00,202.707,2024-01-08 10:46:00,199.475,2,75,242.39999999999873,30.406049999999993,211.99394999999936,RSI Oversold,11JAN24,3,False,2024-01,12.0,200606.977175
"21700CE, 21750PE",2024-01-08 10:35:00,225.43200000000002,2024-01-08 11:32:00,242.8545,2,75,1306.6874999999995,33.814800000000005,1272.8727,Trend Reversal,11JAN24,3,False,2024-01,57.0,201411.078575
"21650PE, 21700CE",2024-01-08 11:34:00,181.7495,2024-01-08 13:05:00,188.4155,2,75,499.9499999999997,27.262425,472.6875749999997,Hold Time Exceeded,11JAN24,3,False,2024-01,91.0,201883.76615
"21600CE, 21600PE",2024-01-08 12:34:00,201.6465,2024-01-08 12:56:00,205.131,2,75,-261.3374999999987,30.246975,-291.584474999999,RSI Oversold,11JAN24,3,False,2024-01,22.0,200315.3927
"21600CE, 21600PE",2024-01-08 13:21:00,200.6365,2024-01-08 13:42:00,203.4645,2,75,-212.0999999999991,30.095475,-242.19547499999908,RSI Oversold,11JAN24,3,False,2024-01,21.0,200073.197225
"21550PE, 21600CE",2024-01-08 14:45:00,182.5575,2024-01-08 15:21:00,187.55700000000002,2,75,374.9625000000009,27.383625,347.57887500000083,EOD,11JAN24,3,False,2024-01,36.0,202231.345025
"21700CE, 21650PE",2024-01-09 09:28:00,148.2175,2024-01-09 10:59:00,153.21699999999998,2,75,374.9624999999998,22.232625,352.7298749999998,Hold Time Exceeded,11JAN24,2,False,2024-01,91.0,202776.714725
"21650PE, 21700CE",2024-01-09 09:58:00,155.0855,2024-01-09 11:29:00,151.8535,2,75,-242.40000000000032,23.262825,-265.6628250000001,Hold Time Exceeded,11JAN24,2,False,2024-01,91.0,201965.6822
"21700CE, 21700PE",2024-01-09 10:21:00,174.57850000000002,2024-01-09 10:58:00,174.12400000000002,2,75,34.08750000000076,26.186775000000004,7.900725000000753,RSI Oversold,11JAN24,2,False,2024-01,37.0,200081.09795
"21750CE, 21700PE",2024-01-09 11:00:00,150.1365,2024-01-09 12:31:00,147.10649999999998,2,75,-227.25000000000068,22.520475,-249.77047500000072,Hold Time Exceeded,11JAN24,2,False,2024-01,91.0,202526.94425
"21700CE, 21750PE",2024-01-09 11:31:00,197.45499999999998,2024-01-09 12:03:00,198.21249999999998,2,75,56.81250000000057,29.61825,27.194250000000523,Trend Reversal,11JAN24,2,False,2024-01,32.0,201992.87645
"21700CE, 21750PE",2024-01-09 12:19:00,195.6875,2024-01-09 12:44:00,196.243,2,75,41.66250000000069,29.353125,12.30937500000069,Trend Reversal,11JAN24,2,False,2024-01,25.0,202005.185825
"21700CE, 21700PE",2024-01-09 12:26:00,175.08350000000002,2024-01-09 12:52:00,170.286,2,75,359.8125,26.262525,333.549975,RSI Oversold,11JAN24,2,False,2024-01,26.0,200414.647925
"21750CE, 21700PE",2024-01-09 12:32:00,147.157,2024-01-09 14:03:00,140.1375,2,75,-526.4625000000012,22.07355,-548.5360500000014,Hold Time Exceeded,11JAN24,2,False,2024-01,91.0,201978.4082
"21700CE, 21750PE",2024-01-09 13:05:00,196.243,2024-01-09 14:28:00,236.744,2,75,3037.5750000000007,29.43645,3008.1385500000015,Profit Target Hit,11JAN24,2,False,2024-01,83.0,205013.324375
"21600PE, 21650CE",2024-01-09 14:35:00,155.59050000000002,2024-01-09 14:45:00,159.984,2,75,329.5124999999998,23.338575,306.1739250000003,Trend Reversal,11JAN24,2,False,2024-01,10.0,205319.4983
"21550CE, 21500PE",2024-01-10 09:41:00,143.218,2024-01-10 10:48:00,132.815,2,75,-780.2249999999995,21.4827,-801.7076999999994,Stop Loss Hit,11JAN24,1,False,2024-01,67.0,201176.7005
"21500CE, 21550PE",2024-01-10 09:41:00,193.5665,2024-01-10 10:47:00,183.9715,2,75,-719.6249999999998,29.034975,-748.6599749999998,Trend Reversal,11JAN24,1,False,2024-01,66.0,204570.838325
"21550CE, 21550PE",2024-01-10 10:17:00,156.8025,2024-01-10 10:32:00,159.5295,2,75,-204.5250000000002,23.520375,-228.04537500000026,RSI Oversold,11JAN24,1,False,2024-01,15.0,200186.60255
"21550CE, 21600PE",2024-01-10 11:22:00,176.346,2024-01-10 12:53:00,189.779,2,75,1007.4749999999995,26.451900000000002,981.0230999999994,Hold Time Exceeded,11JAN24,1,False,2024-01,91.0,205551.861425
"21600CE, 21550PE",2024-01-10 11:42:00,122.614,2024-01-10 12:46:00,152.5605,2,75,2245.9875,18.3921,2227.5954,Profit Target Hit,11JAN24,1,False,2024-01,64.0,203404.2959
"21500PE, 21550CE",2024-01-10 13:18:00,119.3315,2024-01-10 14:04:00,110.09,2,75,-693.1125000000008,17.899725000000004,-711.0122250000009,Stop Loss Hit,11JAN24,1,False,2024-01,46.0,204840.8492
"21550CE, 21550PE",2024-01-10 14:01:00,134.431,2024-01-10 14:32:00,133.32,2,75,83.32500000000192,20.16465,63.16035000000187,RSI Oversold,11JAN24,1,False,2024-01,31.0,200249.7629
"21550CE, 21600PE",2024-01-10 14:17:00,165.3875,2024-01-10 14:50:00,153.015,2,75,-927.9374999999991,24.808125,-952.7456249999992,Stop Loss Hit,11JAN24,1,False,2024-01,33.0,203888.103575
"21600CE, 21550PE",2024-01-10 14:18:00,115.69550000000001,2024-01-10 14:35:00,107.262,2,75,-632.5125000000007,17.354325,-649.8668250000007,Stop Loss Hit,11JAN24,1,False,2024-01,17.0,202754.429075
"21600CE, 21550PE",2024-01-10 14:37:00,106.15100000000001,2024-01-10 15:02:00,123.57350000000001,2,75,1306.687500000001,15.922649999999997,1290.7648500000005,Profit Target Hit,11JAN24,1,False,2024-01,25.0,204045.193925
"21550CE, 21550PE",2024-01-10 14:39:00,134.128,2024-01-10 14:59:00,153.6715,2,75,-1465.7624999999998,20.1192,-1485.8817000000001,Stop Loss Hit,11JAN24,1,False,2024-01,20.0,198763.8812
"21550CE, 21600PE",2024-01-10 14:51:00,154.2775,2024-01-10 15:05:00,185.3855,2,75,2333.0999999999995,23.141625,2309.9583749999993,Profit Target Hit,11JAN24,1,False,2024-01,14.0,206198.06195
"21650CE, 21600PE",2024-01-10 15:03:00,102.616,2024-01-10 15:07:00,94.6875,2,75,-594.6374999999999,15.392400000000002,-610.0298999999998,Stop Loss Hit,11JAN24,1,False,2024-01,4.0,203435.164025
"21600CE, 21650PE",2024-01-10 15:06:00,147.157,2024-01-10 15:21:00,140.59199999999998,2,75,-492.37500000000034,22.07355,-514.4485500000004,EOD,11JAN24,1,False,2024-01,15.0,205683.6134
"21650CE, 21600PE",2024-01-10 15:08:00,95.79849999999999,2024-01-10 15:21:00,90.1425,2,75,-424.20000000000044,14.369775,-438.5697750000005,EOD,11JAN24,1,False,2024-01,13.0,202996.59425
"21800CE, 21750PE",2024-01-12 09:29:00,233.9665,2024-01-12 11:00:00,266.9935,2,75,2477.024999999998,35.094975000000005,2441.930024999998,Hold Time Exceeded,18JAN24,6,False,2024-01,91.0,205438.524275
"21750CE, 21800PE",2024-01-12 09:53:00,283.709,2024-01-12 11:05:00,312.595,2,75,2166.45,42.55635,2123.89365,Trend Reversal,18JAN24,6,False,2024-01,72.0,207807.50705
"21800CE, 21800PE",2024-01-12 10:05:00,260.1255,2024-01-12 11:14:00,279.71950000000004,2,75,-1469.5500000000006,39.01882500000001,-1508.5688250000007,RSI Oversold,18JAN24,6,False,2024-01,69.0,197255.312375
"21900CE, 21850PE",2024-01-12 11:01:00,250.88400000000001,2024-01-12 12:32:00,243.208,2,75,-575.7000000000013,37.632600000000004,-613.3326000000013,Hold Time Exceeded,18JAN24,6,False,2024-01,91.0,204825.19167499998
"21850CE, 21900PE",2024-01-12 11:25:00,300.273,2024-01-12 12:37:00,295.62700000000007,2,75,-348.44999999999686,45.04095,-393.4909499999968,Trend Reversal,18JAN24,6,False,2024-01,72.0,207414.0161
"21900CE, 21850PE",2024-01-12 12:33:00,244.7735,2024-01-12 14:04:00,259.772,2,75,1124.8874999999973,36.716025,1088.1714749999971,Hold Time Exceeded,18JAN24,6,False,2024-01,91.0,205913.36315
"21850CE, 21900PE",2024-01-12 12:50:00,295.1725,2024-01-12 13:23:00,296.839,2,75,124.98750000000086,44.275875,80.71162500000082,Trend Reversal,18JAN24,6,False,2024-01,33.0,207494.727725
"21850CE, 21850PE",2024-01-12 12:52:00,273.76050000000004,2024-01-12 14:06:00,285.0725,2,75,-848.3999999999976,41.064075,-889.4640749999978,RSI Oversold,18JAN24,6,False,2024-01,74.0,196365.8483
"21850CE, 21900PE",2024-01-12 13:34:00,301.63649999999996,2024-01-12 14:27:00,308.757,2,75,534.0375000000017,45.245475,488.7920250000018,Trend Reversal,18JAN24,6,False,2024-01,53.0,207983.51975
"21900CE, 21850PE",2024-01-12 14:05:00,257.954,2024-01-12 15:10:00,239.3195,2,75,-1397.5875000000003,38.6931,-1436.2806000000003,Stop Loss Hit,18JAN24,6,False,2024-01,65.0,204477.08255
"21900CE, 21950PE",2024-01-12 14:37:00,309.1105,2024-01-12 15:10:00,286.63800000000003,2,75,-1685.4375,46.366575,-1731.804075,Stop Loss Hit,18JAN24,6,False,2024-01,33.0,206251.715675
"21900CE, 21900PE",2024-01-12 14:40:00,292.496,2024-01-12 14:53:00,278.6085,2,75,1041.5625,43.8744,997.6881000000001,RSI Oversold,18JAN24,6,False,2024-01,13.0,197363.5364
"21950CE, 21900PE",2024-01-12 15:11:00,234.8755,2024-01-12 15:21:00,235.936,2,75,79.53749999999923,35.231325,44.3061749999988,EOD,18JAN24,6,False,2024-01,10.0,204521.388725
"21900CE, 21950PE",2024-01-12 15:19:00,288.4055,2024-01-12 15:21:00,286.3855,2,75,-151.50000000000068,43.260825,-194.76082500000064,EOD,18JAN24,6,False,2024-01,2.0,206056.95485
"22100CE, 22050PE",2024-01-15 09:28:00,224.97750000000002,2024-01-15 10:59:00,214.8775,2,75,-757.4999999999998,33.746625,-791.2466249999995,Hold Time Exceeded,18JAN24,3,False,2024-01,91.0,203730.1421
"22000PE, 22050CE",2024-01-15 10:06:00,225.937,2024-01-15 10:26:00,223.31099999999998,2,75,-196.94999999999823,33.89055,-230.84054999999822,Trend Reversal,18JAN24,3,False,2024-01,20.0,205826.11430000002
"22050PE, 22100CE",2024-01-15 10:42:00,219.675,2024-01-15 12:13:00,209.3225,2,75,-776.4375000000014,32.95125,-809.3887500000014,Hold Time Exceeded,18JAN24,3,False,2024-01,91.0,205016.72555
"22050CE, 22050PE",2024-01-15 11:00:00,239.37,2024-01-15 11:37:00,238.6125,2,75,56.81249999999946,35.9055,20.90699999999947,RSI Oversold,18JAN24,3,False,2024-01,37.0,197384.44340000002
"22100CE, 22050PE",2024-01-15 11:21:00,215.3825,2024-01-15 12:52:00,209.4235,2,75,-446.9249999999992,32.30737500000001,-479.23237499999925,Hold Time Exceeded,18JAN24,3,False,2024-01,91.0,203250.90972499998
"22050CE, 22100PE",2024-01-15 12:14:00,258.964,2024-01-15 12:32:00,261.3375,2,75,178.01249999999834,38.8446,139.16789999999835,Trend Reversal,18JAN24,3,False,2024-01,18.0,205155.89345
"22100CE, 22050PE",2024-01-15 12:53:00,208.5145,2024-01-15 14:24:00,208.363,2,75,-11.362499999998818,31.277175,-42.639674999998874,Hold Time Exceeded,18JAN24,3,False,2024-01,91.0,203208.27005
"22050CE, 22100PE",2024-01-15 13:59:00,256.0855,2024-01-15 15:21:00,254.823,2,75,-94.68749999999909,38.412825,-133.1003249999992,EOD,18JAN24,3,False,2024-01,82.0,205022.793125
"22050CE, 22050PE",2024-01-15 14:06:00,243.915,2024-01-15 14:32:00,235.12800000000001,2,75,659.0249999999994,36.58725,622.4377499999994,RSI Oversold,18JAN24,3,False,2024-01,26.0,198006.88115
"22100CE, 22050PE",2024-01-15 14:25:00,208.767,2024-01-15 15:21:00,204.525,2,75,-318.1500000000003,31.315050000000003,-349.46505000000025,EOD,18JAN24,3,False,2024-01,56.0,202858.805
"22100CE, 22050PE",2024-01-16 09:33:00,186.749,2024-01-16 11:04:00,180.891,2,75,-439.35000000000014,28.012349999999998,-467.36235000000033,Hold Time Exceeded,18JAN24,2,False,2024-01,91.0,202391.44264999998
"22100CE, 22150PE",2024-01-16 09:48:00,234.8755,2024-01-16 10:29:00,233.108,2,75,-132.56249999999986,35.231325,-167.79382499999986,Trend Reversal,18JAN24,2,False,2024-01,41.0,204854.9993
"22100CE, 22100PE",2024-01-16 09:49:00,210.6355,2024-01-16 11:01:00,201.192,2,75,708.2625,31.595324999999995,676.667175,RSI Oversold,18JAN24,2,False,2024-01,72.0,198683.548325
"22100CE, 22150PE",2024-01-16 10:38:00,229.7245,2024-01-16 12:09:00,221.3415,2,75,-628.7250000000008,34.458675,-663.1836750000009,Hold Time Exceeded,18JAN24,2,False,2024-01,91.0,204191.815625
"22150CE, 22100PE",2024-01-16 11:05:00,174.37650000000002,2024-01-16 12:36:00,168.468,2,75,-443.1375000000007,26.156475,-469.2939750000007,Hold Time Exceeded,18JAN24,2,False,2024-01,91.0,201922.148675
"22100PE, 22150CE",2024-01-16 12:24:00,169.377,2024-01-16 12:35:00,167.1045,2,75,-170.43749999999955,25.406550000000003,-195.84404999999953,Trend Reversal,18JAN24,2,False,2024-01,11.0,203995.971575
"22050PE, 22100CE",2024-01-16 13:17:00,165.84199999999998,2024-01-16 13:24:00,169.9325,2,75,306.7874999999999,24.8763,281.9111999999999,Trend Reversal,18JAN24,2,False,2024-01,7.0,204277.882775
"22050PE, 22100CE",2024-01-16 13:51:00,173.619,2024-01-16 14:14:00,160.2365,2,75,-1003.6875000000005,26.042850000000005,-1029.7303500000003,Stop Loss Hit,18JAN24,2,False,2024-01,23.0,203248.152425
"21750PE, 21800CE",2024-01-17 10:53:00,141.4505,2024-01-17 11:12:00,138.875,2,75,-193.1624999999998,21.217575,-214.38007499999975,Trend Reversal,18JAN24,1,False,2024-01,19.0,203033.77235
