Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time
"22050CE, 22050PE",2024-02-16 14:40:00,307.8985,2024-02-16 15:21:00,304.2625,2,75,272.6999999999998,46.184775,226.51522499999987,EOD,22FEB24,6,False,2,41.0
"22050CE, 22050PE",2024-02-19 10:09:00,284.11300000000006,2024-02-19 11:32:00,296.536,2,75,-931.7249999999963,42.61695,-974.3419499999964,RSI Oversold,22FEB24,3,False,2,83.0
"22150CE, 22150PE",2024-02-19 11:58:00,286.1835,2024-02-19 13:27:00,278.053,2,75,609.7874999999999,42.92752500000001,566.8599749999998,RSI Oversold,22FEB24,3,False,2,89.0
"22100CE, 22100PE",2024-02-20 09:43:00,258.863,2024-02-20 09:55:00,259.873,2,75,-75.75,38.82945,-114.57945000000063,RSI Oversold,22FEB24,2,False,2,12.0
"22100CE, 22100PE",2024-02-20 10:17:00,253.106,2024-02-20 10:44:00,254.67149999999998,2,75,-117.41250000000002,37.965900000000005,-155.3784000000001,RSI Oversold,22FEB24,2,False,2,27.0
"22100CE, 22100PE",2024-02-20 11:20:00,247.7025,2024-02-20 12:23:00,245.632,2,75,155.28750000000014,37.15537500000001,118.13212500000009,RSI Oversold,22FEB24,2,False,2,63.0
"22150CE, 22150PE",2024-02-20 13:31:00,234.219,2024-02-20 13:58:00,229.32049999999998,2,75,367.3874999999996,35.132850000000005,332.25464999999986,RSI Oversold,22FEB24,2,False,2,27.0
"22200CE, 22200PE",2024-02-20 15:03:00,217.09949999999998,2024-02-20 15:21:00,221.7455,2,75,-348.449999999999,32.564925,-381.01492499999915,EOD,22FEB24,2,False,2,18.0
"22200CE, 22200PE",2024-02-21 11:02:00,184.82999999999998,2024-02-21 11:23:00,182.305,2,75,189.37499999999937,27.7245,161.65049999999934,RSI Oversold,22FEB24,1,False,2,21.0
"22200CE, 22200PE",2024-02-21 11:42:00,175.538,2024-02-21 13:08:00,156.19650000000001,2,75,1450.6124999999986,26.3307,1424.2817999999986,RSI Oversold,22FEB24,1,False,2,86.0
"22100CE, 22100PE",2024-02-21 15:10:00,157.257,2024-02-21 15:21:00,165.0845,2,75,-587.0625,23.58855,-610.6510499999999,EOD,22FEB24,1,False,2,11.0
"21950CE, 21950PE",2024-02-22 11:42:00,100.3435,2024-02-22 12:06:00,80.54750000000001,2,75,1484.6999999999998,15.051525000000002,1469.648475,Profit Target Hit,22FEB24,0,True,2,24.0
"22000CE, 22000PE",2024-02-22 13:38:00,74.84100000000001,2024-02-22 13:59:00,93.425,2,75,-1393.7999999999997,11.22615,-1405.0261499999992,Stop Loss Hit,22FEB24,0,True,2,21.0
"22100CE, 22100PE",2024-02-22 14:00:00,71.25550000000001,2024-02-22 14:15:00,73.0735,2,75,-136.35000000000036,10.688324999999999,-147.03832500000067,RSI Oversold,22FEB24,0,True,2,15.0
"22200CE, 22200PE",2024-02-22 14:51:00,56.055,2024-02-22 15:00:00,41.006,2,75,1128.675,8.40825,1120.2667499999998,Profit Target Hit,22FEB24,0,True,2,9.0
"22250CE, 22250PE",2024-02-23 11:06:00,316.938,2024-02-23 11:18:00,315.019,2,75,143.92499999999905,47.5407,96.3842999999988,RSI Oversold,29FEB24,6,False,2,12.0
"22250CE, 22250PE",2024-02-23 12:27:00,311.5345,2024-02-23 13:08:00,309.86800000000005,2,75,124.98749999999887,46.730175,78.2573249999989,RSI Oversold,29FEB24,6,False,2,41.0
"22150CE, 22150PE",2024-02-26 13:17:00,274.6695,2024-02-26 13:30:00,273.60900000000004,2,75,79.5374999999982,41.200424999999996,38.33707499999821,RSI Oversold,29FEB24,3,False,2,13.0
"22150CE, 22150PE",2024-02-27 12:40:00,233.3605,2024-02-27 13:41:00,232.3,2,75,79.53749999999832,35.004075,44.533424999998715,RSI Oversold,29FEB24,2,False,2,61.0
"22150CE, 22150PE",2024-02-27 14:16:00,224.523,2024-02-27 14:29:00,219.877,2,75,348.4500000000004,33.678450000000005,314.77155000000005,RSI Oversold,29FEB24,2,False,2,13.0
"22200CE, 22200PE",2024-02-27 15:05:00,219.32150000000001,2024-02-27 15:18:00,214.322,2,75,374.96249999999884,32.898225,342.06427499999893,RSI Oversold,29FEB24,2,False,2,13.0
"22000CE, 22000PE",2024-02-29 09:34:00,150.086,2024-02-29 09:47:00,149.07600000000002,2,75,75.75000000000205,22.5129,53.2371000000021,RSI Oversold,29FEB24,0,True,2,13.0
"22000CE, 22000PE",2024-02-29 09:56:00,142.41,2024-02-29 10:10:00,152.813,2,75,-780.2249999999999,21.3615,-801.5864999999994,RSI Oversold,29FEB24,0,True,2,14.0
"22000CE, 22000PE",2024-02-29 11:15:00,119.9375,2024-02-29 11:29:00,135.6935,2,75,-1181.6999999999998,17.990625,-1199.690625,Stop Loss Hit,29FEB24,0,True,2,14.0
"21950CE, 21950PE",2024-02-29 12:45:00,96.4045,2024-02-29 13:56:00,77.366,2,75,1427.8874999999998,14.460675,1413.426825,Profit Target Hit,29FEB24,0,True,2,71.0
"22000CE, 22000PE",2024-02-29 14:45:00,58.2265,2024-02-29 14:58:00,65.5995,2,75,-552.9750000000004,8.733975000000001,-561.7089750000005,Stop Loss Hit,29FEB24,0,True,2,13.0
"22150CE, 22150PE",2024-03-01 09:44:00,339.61249999999995,2024-03-01 10:45:00,344.006,2,75,-329.5125000000013,50.941874999999996,-380.4543750000013,RSI Oversold,07MAR24,6,False,3,61.0
"22200CE, 22200PE",2024-03-01 11:11:00,332.49199999999996,2024-03-01 11:41:00,372.2355,2,75,-2980.7625000000016,49.8738,-3030.6363000000015,Stop Loss Hit,07MAR24,6,False,3,30.0
"22400CE, 22400PE",2024-03-04 10:26:00,270.983,2024-03-04 10:49:00,267.80150000000003,2,75,238.61249999999998,40.647450000000006,197.96504999999993,RSI Oversold,07MAR24,3,False,3,23.0
"22400CE, 22400PE",2024-03-04 12:39:00,259.1155,2024-03-04 12:49:00,254.97449999999998,2,75,310.5750000000014,38.867325,271.7076750000015,RSI Oversold,07MAR24,3,False,3,10.0
"22300CE, 22300PE",2024-03-05 11:33:00,210.989,2024-03-05 12:16:00,207.6055,2,75,253.7624999999997,31.648350000000004,222.11414999999977,RSI Oversold,07MAR24,2,False,3,43.0
"22400CE, 22400PE",2024-03-05 12:52:00,198.8185,2024-03-05 13:14:00,201.8485,2,75,-227.25000000000216,29.822775,-257.0727750000022,RSI Oversold,07MAR24,2,False,3,22.0
"22350CE, 22350PE",2024-03-06 10:17:00,174.12400000000002,2024-03-06 10:30:00,181.8505,2,75,-579.4874999999997,26.1186,-605.6060999999997,RSI Oversold,07MAR24,1,False,3,13.0
"22250CE, 22250PE",2024-03-06 12:31:00,168.36700000000002,2024-03-06 13:42:00,190.587,2,75,-1666.499999999999,25.255050000000004,-1691.7550499999993,Stop Loss Hit,07MAR24,1,False,3,71.0
"22300CE, 22300PE",2024-03-06 13:43:00,169.983,2024-03-06 13:52:00,188.87,2,75,-1416.5250000000008,25.49745,-1442.022450000001,Stop Loss Hit,07MAR24,1,False,3,9.0
"22450CE, 22450PE",2024-03-06 14:31:00,143.723,2024-03-06 14:42:00,164.226,2,75,-1537.7250000000004,21.55845,-1559.2834500000001,Stop Loss Hit,07MAR24,1,False,3,11.0
"22500CE, 22500PE",2024-03-07 11:04:00,66.66,2024-03-07 11:41:00,57.216499999999996,2,75,708.2624999999998,9.999,698.2634999999998,RSI Oversold,07MAR24,0,True,3,37.0
"22500CE, 22500PE",2024-03-07 13:04:00,53.2775,2024-03-07 13:18:00,47.4195,2,75,439.34999999999974,7.991624999999999,431.35837499999974,RSI Oversold,07MAR24,0,True,3,14.0
"22400CE, 22400PE",2024-03-11 12:39:00,247.6015,2024-03-11 13:45:00,245.329,2,75,170.43750000000057,37.140225,133.29727500000058,RSI Oversold,14MAR24,3,False,3,66.0
"22400CE, 22400PE",2024-03-12 09:36:00,222.70499999999998,2024-03-12 10:31:00,218.10950000000003,2,75,344.6624999999981,33.40575,311.25674999999796,RSI Oversold,14MAR24,2,False,3,55.0
"22400CE, 22400PE",2024-03-12 12:12:00,207.353,2024-03-12 12:48:00,209.7265,2,75,-178.0125000000005,31.10295,-209.11545000000046,RSI Oversold,14MAR24,2,False,3,36.0
"22050CE, 22050PE",2024-03-14 10:35:00,99.03049999999999,2024-03-14 11:04:00,90.294,2,75,655.2374999999996,14.854575,640.3829249999998,RSI Oversold,14MAR24,0,True,3,29.0
"22150CE, 22150PE",2024-03-14 11:33:00,82.517,2024-03-14 11:43:00,104.0805,2,75,-1617.2624999999994,12.37755,-1629.6400499999997,Stop Loss Hit,14MAR24,0,True,3,10.0
"22150CE, 22150PE",2024-03-14 13:04:00,73.72999999999999,2024-03-14 13:33:00,58.479,2,75,1143.8249999999994,11.059500000000002,1132.7654999999997,Profit Target Hit,14MAR24,0,True,3,29.0
"22000CE, 22000PE",2024-03-15 10:48:00,320.27099999999996,2024-03-15 11:01:00,323.301,2,75,-227.2500000000025,48.04065,-275.2906500000024,RSI Oversold,21MAR24,6,False,3,13.0
