Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time
"22000CE, 22050PE",2024-03-14 09:41:00,164.6805,2024-03-14 09:55:00,149.177,2,75,-1162.7625000000003,24.702075,-1187.4645750000004,Stop Loss Hit,14MAR24,0,True,3,14.0
"22050CE, 22100PE",2024-03-14 09:58:00,154.5805,2024-03-14 10:15:00,143.1675,2,75,-855.9750000000001,23.187075,-879.1620750000002,Stop Loss Hit,14MAR24,0,True,3,17.0
"22050CE, 22100PE",2024-03-14 10:35:00,130.0375,2024-03-14 10:37:00,118.01850000000002,2,75,-901.4249999999994,19.505625000000002,-920.9306249999993,Stop Loss Hit,14MAR24,0,True,3,2.0
"22050CE, 22100PE",2024-03-14 10:39:00,115.64500000000001,2024-03-14 11:07:00,113.322,2,75,-174.22500000000127,17.34675,-191.57175000000143,Trend Reversal,14MAR24,0,True,3,28.0
"22100CE, 22150PE",2024-03-14 11:24:00,112.5645,2024-03-14 11:43:00,141.7535,2,75,2189.1750000000006,16.884675,2172.2903250000004,Profit Target Hit,14MAR24,0,True,3,19.0
"22150CE, 22200PE",2024-03-14 11:44:00,124.98750000000001,2024-03-14 12:05:00,115.544,2,75,-708.2625000000006,18.748125,-727.0106250000006,Stop Loss Hit,14MAR24,0,True,3,21.0
"22200CE, 22250PE",2024-03-14 12:06:00,119.7355,2024-03-14 12:24:00,110.393,2,75,-700.6874999999995,17.960324999999997,-718.6478249999996,Stop Loss Hit,14MAR24,0,True,3,18.0
"22200CE, 22250PE",2024-03-14 12:27:00,106.6055,2024-03-14 13:04:00,96.85900000000001,2,75,-730.9875,15.990825000000001,-746.9783249999998,Stop Loss Hit,14MAR24,0,True,3,37.0
"22150CE, 22200PE",2024-03-14 13:05:00,94.1825,2024-03-14 13:25:00,86.759,2,75,-556.7625000000004,14.127375,-570.8898750000004,Stop Loss Hit,14MAR24,0,True,3,20.0
"22000PE, 22050CE",2024-03-15 10:04:00,302.54550000000006,2024-03-15 11:29:00,294.8695,2,75,-575.7000000000033,45.381825000000006,-621.0818250000033,Trend Reversal,21MAR24,6,False,3,85.0
"21950PE, 22000CE",2024-03-15 12:11:00,296.334,2024-03-15 12:18:00,293.405,2,75,-219.67500000000015,44.450100000000006,-264.12510000000015,Trend Reversal,21MAR24,6,False,3,7.0
"22000PE, 22050CE",2024-03-15 13:07:00,284.9715,2024-03-15 13:17:00,287.79949999999997,2,75,212.09999999999914,42.745725,169.35427499999912,Trend Reversal,21MAR24,6,False,3,10.0
"22000CE, 22050PE",2024-03-15 13:38:00,335.8755,2024-03-15 15:09:00,318.352,2,75,-1314.262500000001,50.381325000000004,-1364.643825000001,Hold Time Exceeded,21MAR24,6,False,3,91.0
"22000CE, 22050PE",2024-03-15 15:16:00,316.2815,2024-03-15 15:21:00,316.231,2,75,-3.787499999997749,47.442225,-51.22972499999776,EOD,21MAR24,6,False,3,5.0
"22000PE, 22050CE",2024-03-18 09:54:00,266.7915,2024-03-18 10:44:00,247.551,2,75,-1443.0375,40.018725,-1483.0562249999998,Stop Loss Hit,21MAR24,3,False,3,50.0
"21950PE, 22000CE",2024-03-18 11:29:00,250.48,2024-03-18 13:00:00,258.8125,2,75,624.9375000000014,37.572,587.3655000000017,Hold Time Exceeded,21MAR24,3,False,3,91.0
"22100CE, 22150PE",2024-03-18 13:56:00,281.3355,2024-03-18 15:21:00,275.124,2,75,-465.862500000002,42.200325,-508.06282500000225,EOD,21MAR24,3,False,3,85.0
"21900PE, 21950CE",2024-03-19 10:14:00,225.8865,2024-03-19 11:45:00,230.078,2,75,314.3624999999995,33.882975,280.47952499999906,Hold Time Exceeded,21MAR24,2,False,3,91.0
"21850PE, 21900CE",2024-03-19 11:54:00,214.9785,2024-03-19 13:07:00,199.1215,2,75,-1189.2749999999987,32.246775,-1221.5217749999988,Stop Loss Hit,21MAR24,2,False,3,73.0
"21800CE, 21850PE",2024-03-20 11:41:00,204.222,2024-03-20 12:43:00,204.222,2,75,1.8189894035458565e-12,30.6333,-30.6332999999986,Trend Reversal,21MAR24,1,False,3,62.0
